Formation,Set,FormNum,SetNum
Singleback,Jumbo Z,1,1
Singleback,Ace,1,2
Singleback,Ace Twins,1,3
Singleback,Bunch Base,1,4
Singleback,Tight Doubles,1,5
Singleback,Doubles,1,6
Singleback,Y-Trips Texan,1,7
I-Form,Pro,2,1
I-Form,Tight Pair,2,2
Strong,Pro,3,1
Weak,Pro Twins,4,1
Gun,Split Texan,5,1
Gun,Ace Pair Flex,5,2
Gun,Doubles,5,3
Gun,Y-Trips HB WK,5,4
Gun,Wing Trips WK,5,5
Gun,Trips TE,5,6
Gun,Bunch WK,5,7
Gun,Tight Doubles,5,8
Gun,Snugs Flip,5,9
Gun,Spread Y-Slot,5,10
Gun,Empty Texan,5,11
Gun,Empty Y-Flex,5,12
Gun,Empty Base,5,13
Goalline,Normal,6,1
